OrderID,CustomerID,OrderDate,Product,Category,Quantity,Price,PaymentMethod,TotalAmount
1001,151,2023-02-03,Phone,Accessories,4,646.44,PayPal,2585.76
1002,192,2023-04-21,Headphones,Accessories,2,1316.9,UPI,2633.8
1003,114,2023-09-21,Headphones,Accessories,4,975.03,UPI,3900.12
1004,171,2023-08-24,Phone,Accessories,2,1258.78,Credit Card,2517.56
1005,160,2023-03-24,Monitor,Accessories,3,774.18,Credit Card,2322.54
1006,120,2023-02-11,Camera,Electronics,4,825.79,UPI,3303.16
1007,182,2023-04-11,Headphones,Accessories,1,259.36,UPI,259.36
1008,186,2023-01-06,Monitor,Accessories,4,1186.78,Credit Card,4747.12
1009,174,2023-06-29,Phone,Accessories,3,658.11,COD,1974.33
1010,174,2023-10-09,Monitor,Accessories,1,775.12,UPI,775.12
1011,187,2023-11-16,Laptop,Electronics,1,1188.39,PayPal,1188.39
1012,199,2023-08-14,Headphones,Electronics,2,918.33,PayPal,1836.66
1013,123,2023-11-11,Phone,Electronics,1,341.59,PayPal,341.59
1014,102,2023-12-31,Camera,Accessories,1,905.84,UPI,905.84
1015,121,2023-08-17,Phone,Accessories,4,641.07,COD,2564.28
1016,152,2023-10-16,Camera,Electronics,3,730.81,COD,2192.43
1017,101,2023-05-30,Phone,Electronics,2,91.05,Credit Card,182.1
1018,187,2023-10-04,Monitor,Electronics,4,354.54,UPI,1418.16
1019,129,2023-07-17,Monitor,Accessories,1,457.51,COD,457.51
1020,137,2023-03-11,Monitor,Accessories,1,1083.79,UPI,1083.79
1021,101,2023-04-22,Laptop,Electronics,2,66.66,Credit Card,133.32
1022,163,2023-01-04,Camera,Electronics,3,642.73,Credit Card,1928.19
1023,159,2023-12-16,Monitor,Electronics,2,1389.84,Credit Card,2779.68
1024,120,2023-11-27,Laptop,Accessories,4,212.23,PayPal,848.92
1025,132,2023-11-14,Camera,Accessories,2,798.82,UPI,1597.64
1026,175,2023-12-16,Phone,Accessories,1,1190.46,Credit Card,1190.46
1027,157,2023-04-05,Laptop,Electronics,4,1416.67,UPI,5666.68
1028,121,2023-06-01,Headphones,Electronics,1,1132.83,PayPal,1132.83
1029,188,2023-11-07,Laptop,Accessories,3,1094.82,PayPal,3284.46
1030,148,2023-05-17,Laptop,Electronics,1,1248.41,Credit Card,1248.41
1031,190,2023-09-04,Camera,Accessories,1,696.99,Credit Card,696.99
1032,158,2023-08-31,Phone,Electronics,2,1218.47,COD,2436.94
1033,141,2023-01-31,Headphones,Electronics,1,61.55,UPI,61.55
1034,191,2023-02-09,Monitor,Electronics,4,1390.61,Credit Card,5562.44
1035,159,2023-08-17,Monitor,Electronics,4,692.79,COD,2771.16
1036,179,2023-02-05,Laptop,Accessories,3,852.4,UPI,2557.2
1037,114,2023-08-11,Camera,Electronics,4,419.58,Credit Card,1678.32
1038,161,2023-01-06,Camera,Accessories,2,1126.67,COD,2253.34
1039,161,2023-11-18,Monitor,Accessories,3,161.12,COD,483.36
1040,146,2023-08-08,Headphones,Accessories,4,1315.32,UPI,5261.28
1041,161,2023-03-16,Phone,Electronics,2,1250.77,COD,2501.54
1042,150,2023-01-04,Headphones,Accessories,4,363.29,UPI,1453.16
1043,154,2023-12-01,Phone,Accessories,4,1223.52,UPI,4894.08
1044,163,2023-05-14,Monitor,Accessories,1,1190.22,UPI,1190.22
1045,102,2023-04-28,Phone,Electronics,4,966.71,PayPal,3866.84
1046,150,2023-04-04,Camera,Electronics,4,591.6,COD,2366.4
1047,106,2023-03-03,Laptop,Accessories,2,443.67,UPI,887.34
1048,120,2023-07-13,Laptop,Electronics,2,386.09,Credit Card,772.18
1049,172,2023-12-01,Monitor,Accessories,1,511.98,PayPal,511.98
1050,138,2023-07-22,Camera,Accessories,4,1360.16,PayPal,5440.64
1051,117,2023-01-26,Headphones,Electronics,1,162.58,COD,162.58
1052,103,2023-06-22,Camera,Accessories,4,1251.86,UPI,5007.44
1053,188,2023-10-27,Laptop,Electronics,3,555.89,COD,1667.67
1054,159,2023-05-13,Laptop,Electronics,3,806.32,PayPal,2418.96
